Settings for the Lodewijkstraat,Unnamed: 1,Unnamed: 2,Sheet 2: Customer classes and routing,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Customer class:,"Hall, Debris, Green",,,,,,
Percentage of total:,0.12,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.13,0.31,0,0.56
,,Debris (clean + dirty),,,0,0,1
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green, Rest 1",,,,,,
Percentage of total:,0.08,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.26,0.16,0.1,0.48
,,Debris (clean + dirty),,,0.6,0,0.4
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green, Rest 2",,,,,,
Percentage of total:,0.07,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.37,0.12,0.06,0.44999999999999996
,,Debris (clean + dirty),,,0.33,0,0.6699999999999999
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green, Rest 3",,,,,,
Percentage of total:,0.04,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.2,0.4,0.4,0
,,Debris (clean + dirty),,,0,1,0
,,Green,,,,1,0
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Debris, Green, Rest",,,,,,
Percentage of total:,0.22,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,0,0.16,0.37,0.47,0
,,Hall/Overflow,,0.22,0.11,0,0.6699999999999999
,,Debris (clean + dirty),,,0.09,0,0.91
,,Green,,,,0.03,0.97
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green, Rest 4",,,,,,
Percentage of total:,0.22,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.22,0.2,0.06,0.52
,,Debris (clean + dirty),,,0.08,0,0.92
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Rest 1",,,,,,
Percentage of total:,0.03,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.17,0,0.33,0.5
,,Debris (clean + dirty),,,0,0.4,0.6
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green 1",,,,,,
Percentage of total:,0.04,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,0.82,0.18,0,0,0
,,Hall/Overflow,,1,0,0,0
,,Debris (clean + dirty),,,0.27,0,0.73
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Rest 2",,,,,,
Percentage of total:,0.01,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,1,0,0,0
,,Debris (clean + dirty),,,0,0.5,0.5
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall, Debris, Green 2",,,,,,
Percentage of total:,0.12,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,1,0,0,0,0
,,Hall/Overflow,,0.15,0.13,0,0.72
,,Debris (clean + dirty),,,0.4,0,0.6
,,Green,,,,0,1
,,Rest,,,,,1
,,,,,,,
,,,,,,,
Customer class:,"Hall,  Green, Rest",,,,,,
Percentage of total:,0.05,,,,,,
Routing matrix,,,To,,,,
,,,Hall/Overflow,Debris (clean + dirty),Green,Rest,Exit
,From,Entrance,0.15,0,0.85,0,0
,,Hall/Overflow,,0,1,0,0
,,Debris (clean + dirty),,,0,0,1
,,Green,,,,0.23,0.77
,,Rest,,,,,1
